Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Throughput,Avg Batch Time
1,1.6284073114395141,13.75,1.6125160455703735,18.75,5.033051833151605,1.7813835620880127
2,1.6140287160873412,23.75,1.607305884361267,25.0,9.317404628897222,1.6755245208740235
3,1.6096150636672975,18.75,1.6054853200912476,18.75,9.409349526867576,1.6596445083618163
